H  1  1215.67A          # Ly alpha   H n=2 -> n=1
H  1  1.28180m		# Pa beta  H n=5 -> n=3
Fe 2  1.64355m
H  1  1.73620m		# Br 10    H n=10 -> n=4
H  1  1.81740m		# Br 9     H n=9 -> n=4
H  1  1.87510m		# Pa alpha H n=4 -> n=3
H  1  1.94454m		# Br delta H n=8 -> n=4
He 1  2.05813m
H  1  2.16551m		# Br gamma H n=7 -> n=4
H  1  2.62513m		# Br beta  H n=6 -> n=4
H  1  4.05113m		# Br alpha H n=5 -> n=4
Ar 2  6.98337m		# Stout, 1 2
Ar 3  8.98898m		# Stout, 1 2
H2    9.66228m          # 0-0 S(3)
S  4  10.5076m		# Chianti, 1 2
H2    12.2753m          # 0-0 S(2)
Ne 2  12.8101m		# Stout, 1 2
Cl 2  14.3639m		# Chianti, 1 2
Ne 3  15.5509m		# Stout, 1 2
H2    17.0302m          # 0-0 S(1)
S  3  18.7078m		# Stout, 2 3
Ar 3  21.8253m		# Stout, 2 3
O  4  25.8832m		# Chianti, 1 2
Fe 2  25.9811m		# Stout, 1 2 raie PDR
P  2  32.8620m		# Stout, 2 3
S  3  33.4704m		# Stout, 1 2
Si 2  34.8046m		# Stout, 1 2
Ne 3  36.0036m		# Stout, 2 3
O  3  51.8004m		# Stout, 2 3
N  3  57.3238m		# Chianti, 1 2
P  2  60.6263m		# Stout, 1 2
O  1  63.1679m		# Stout, 1 2
O  3  88.3323m		# Stout, 1 2
N  2  121.767m		# Chianti, 2 3
O  1  145.495m		# Stout, 2 3
C  2  157.636m		# Stout, 1 2
N  2  205.244m		# Chianti, 1 2
C  1  370.269m		# Stout, 2 3
HCN   483.168m 
CS    510.044m 
C  1  609.590m
CO    650.074m          #  4-3
CN    660.727m
CO    866.727m          #  3-2
CO    1300.05m          #  2-1
CO    2600.05m          #  1-0
