#index	label	wavelength	comment
135	Cr23h           0 		# heating due to iso-seq species
136	Mn24c           0 		# net cooling due to iso-seq species
137	Mn24h           0 		# heating due to iso-seq species
138	Fe25c           0 		# net cooling due to iso-seq species
139	Fe25h           0 		# heating due to iso-seq species
140	Co26c           0 		# net cooling due to iso-seq species
141	Co26h           0 		# heating due to iso-seq species
142	Ni27c           0 		# net cooling due to iso-seq species
143	Ni27h           0 		# heating due to iso-seq species
144	Cu28c           0 		# net cooling due to iso-seq species
145	Cu28h           0 		# heating due to iso-seq species
146	Zn29c           0 		# net cooling due to iso-seq species
147	Zn29h           0 		# heating due to iso-seq species
148	NOc             0 		# net cooling due to database species
149	NOh             0 		# heating due to database species
150	CNc             0 		# net cooling due to database species
151	CNh             0 		# heating due to database species
152	NH3c            0 		# net cooling due to database species
153	NH3h            0 		# heating due to database species
154	NH3c            0 		# net cooling due to database species
155	NH3h            0 		# heating due to database species
156	H3O+c           0 		# net cooling due to database species
157	H3O+h           0 		# heating due to database species
158	H3O+c           0 		# net cooling due to database species
159	H3O+h           0 		# heating due to database species
160	CH3OHc          0 		# net cooling due to database species
161	CH3OHh          0 		# heating due to database species
162	OHc             0 		# net cooling due to database species
163	OHh             0 		# heating due to database species
164	H2COc           0 		# net cooling due to database species
165	H2COh           0 		# heating due to database species
166	H2COc           0 		# net cooling due to database species
167	H2COh           0 		# heating due to database species
168	HNCc            0 		# net cooling due to database species
169	HNCh            0 		# heating due to database species
170	HCNc            0 		# net cooling due to database species
171	HCNh            0 		# heating due to database species
172	COc             0 		# net cooling due to database species
173	COh             0 		# heating due to database species
174	HC3Nc           0 		# net cooling due to database species
175	HC3Nh           0 		# heating due to database species
176	HCS+c           0 		# net cooling due to database species
177	HCS+h           0 		# heating due to database species
178	O2c             0 		# net cooling due to database species
179	O2h             0 		# heating due to database species
180	^13COc          0 		# net cooling due to database species
181	^13COh          0 		# heating due to database species
182	SiOc            0 		# net cooling due to database species
183	SiOh            0 		# heating due to database species
184	OCSc            0 		# net cooling due to database species
185	OCSh            0 		# heating due to database species
186	N2H+c           0 		# net cooling due to database species
187	N2H+h           0 		# heating due to database species
188	HClc            0 		# net cooling due to database species
189	HClh            0 		# heating due to database species
190	HCO+c           0 		# net cooling due to database species
191	HCO+h           0 		# heating due to database species
192	H2Oc            0 		# net cooling due to database species
193	H2Oh            0 		# heating due to database species
194	H2Oc            0 		# net cooling due to database species
