#index	label	wavelength	comment
54850	P 14      4.40351A		# extra Lyman line
54855	P 14      4.40345A		# extra Lyman line
54860	P 14      4.40339A		# extra Lyman line
54865	P 14      4.40333A		# extra Lyman line
54870	P 14      4.40327A		# extra Lyman line
54875	P 14      4.40322A		# extra Lyman line
54880	P 14      4.40317A		# extra Lyman line
54885	P 14      4.40313A		# extra Lyman line
54890	P 14      4.40308A		# extra Lyman line
54895	P 14      4.40304A		# extra Lyman line
54900	P 14      4.40300A		# extra Lyman line
54905	P 14      4.40296A		# extra Lyman line
54910	P 14      4.40293A		# extra Lyman line
54915	P 14      4.40289A		# extra Lyman line
54920	P 14      4.40286A		# extra Lyman line
54925	P 14      4.40283A		# extra Lyman line
54930	P 14      4.40280A		# extra Lyman line
54935	P 14      4.40277A		# extra Lyman line
54940	P 14      4.40274A		# extra Lyman line
54945	P 14      4.40272A		# extra Lyman line
54950	P 14      4.40269A		# extra Lyman line
54955	P 14      4.40267A		# extra Lyman line
54960	P 14      4.40264A		# extra Lyman line
54965	P 14      4.40262A		# extra Lyman line
54970	P 14      4.40260A		# extra Lyman line
54975	P 14      4.40258A		# extra Lyman line
54980	P 14      4.40256A		# extra Lyman line
54985	P 14      4.40254A		# extra Lyman line
54990	P 14      4.40252A		# extra Lyman line
54995	P 14      4.40251A		# extra Lyman line
55000	P 14      4.40249A		# extra Lyman line
55005	P 14      4.40247A		# extra Lyman line
55010	P 14      4.40246A		# extra Lyman line
55015	P 14      4.40244A		# extra Lyman line
55020	P 14      4.40243A		# extra Lyman line
55025	P 14      4.40241A		# extra Lyman line
55030	P 14      4.40240A		# extra Lyman line
55035	P 14      4.40239A		# extra Lyman line
55040	P 14      4.40237A		# extra Lyman line
55045	P 14      4.40236A		# extra Lyman line
55050	P 14      4.40235A		# extra Lyman line
55055	P 14      4.40234A		# extra Lyman line
55060	P 14      4.40233A		# extra Lyman line
55065	P 14      4.40232A		# extra Lyman line
55070	P 14      4.40231A		# extra Lyman line
55075	P 14      4.40230A		# extra Lyman line
55080	P 14      4.40229A		# extra Lyman line
55085	P 14      4.40228A		# extra Lyman line
55090	P 14      4.40227A		# extra Lyman line
55095	S 15      3.84910A		# extra Lyman line
55100	S 15      3.84894A		# extra Lyman line
55105	S 15      3.84880A		# extra Lyman line
55110	S 15      3.84866A		# extra Lyman line
55115	S 15      3.84854A		# extra Lyman line
55120	S 15      3.84842A		# extra Lyman line
55125	S 15      3.84831A		# extra Lyman line
55130	S 15      3.84821A		# extra Lyman line
55135	S 15      3.84812A		# extra Lyman line
55140	S 15      3.84803A		# extra Lyman line
55145	S 15      3.84795A		# extra Lyman line
55150	S 15      3.84787A		# extra Lyman line
55155	S 15      3.84780A		# extra Lyman line
55160	S 15      3.84773A		# extra Lyman line
55165	S 15      3.84767A		# extra Lyman line
55170	S 15      3.84761A		# extra Lyman line
55175	S 15      3.84755A		# extra Lyman line
55180	S 15      3.84750A		# extra Lyman line
55185	S 15      3.84745A		# extra Lyman line
55190	S 15      3.84740A		# extra Lyman line
55195	S 15      3.84736A		# extra Lyman line
55200	S 15      3.84731A		# extra Lyman line
55205	S 15      3.84727A		# extra Lyman line
55210	S 15      3.84723A		# extra Lyman line
55215	S 15      3.84720A		# extra Lyman line
55220	S 15      3.84716A		# extra Lyman line
55225	S 15      3.84713A		# extra Lyman line
55230	S 15      3.84710A		# extra Lyman line
55235	S 15      3.84707A		# extra Lyman line
55240	S 15      3.84704A		# extra Lyman line
55245	S 15      3.84701A		# extra Lyman line
55250	S 15      3.84699A		# extra Lyman line
55255	S 15      3.84696A		# extra Lyman line
55260	S 15      3.84694A		# extra Lyman line
55265	S 15      3.84692A		# extra Lyman line
55270	S 15      3.84689A		# extra Lyman line
55275	S 15      3.84687A		# extra Lyman line
55280	S 15      3.84685A		# extra Lyman line
55285	S 15      3.84683A		# extra Lyman line
55290	S 15      3.84681A		# extra Lyman line
55295	S 15      3.84680A		# extra Lyman line
55300	S 15      3.84678A		# extra Lyman line
55305	S 15      3.84676A		# extra Lyman line
55310	S 15      3.84675A		# extra Lyman line
55315	S 15      3.84673A		# extra Lyman line
55320	S 15      3.84672A		# extra Lyman line
55325	S 15      3.84670A		# extra Lyman line
55330	S 15      3.84669A		# extra Lyman line
55335	S 15      3.84667A		# extra Lyman line
55340	S 15      3.84666A		# extra Lyman line
55345	S 15      3.84665A		# extra Lyman line
55350	S 15      3.84664A		# extra Lyman line
55355	S 15      3.84663A		# extra Lyman line
55360	S 15      3.84662A		# extra Lyman line
55365	S 15      3.84660A		# extra Lyman line
55370	S 15      3.84659A		# extra Lyman line
55375	S 15      3.84658A		# extra Lyman line
55380	S 15      3.84657A		# extra Lyman line
55385	S 15      3.84657A		# extra Lyman line
55390	S 15      3.84656A		# extra Lyman line
55395	S 15      3.84655A		# extra Lyman line
55400	S 15      3.84654A		# extra Lyman line
55405	S 15      3.84653A		# extra Lyman line
55410	S 15      3.84652A		# extra Lyman line
55415	Cl16      3.40401A		# extra Lyman line
55420	Cl16      3.40217A		# extra Lyman line
55425	Cl16      3.40065A		# extra Lyman line
55430	Cl16      3.39937A		# extra Lyman line
55435	Cl16      3.39830A		# extra Lyman line
55440	Cl16      3.39738A		# extra Lyman line
55445	Cl16      3.39658A		# extra Lyman line
55450	Cl16      3.39590A		# extra Lyman line
55455	Cl16      3.39530A		# extra Lyman line
55460	Cl16      3.39478A		# extra Lyman line
55465	Cl16      3.39431A		# extra Lyman line
55470	Cl16      3.39390A		# extra Lyman line
55475	Cl16      3.39354A		# extra Lyman line
55480	Cl16      3.39321A		# extra Lyman line
55485	Cl16      3.39292A		# extra Lyman line
55490	Cl16      3.39265A		# extra Lyman line
55495	Cl16      3.39241A		# extra Lyman line
55500	Cl16      3.39220A		# extra Lyman line
55505	Cl16      3.39200A		# extra Lyman line
55510	Cl16      3.39182A		# extra Lyman line
55515	Cl16      3.39165A		# extra Lyman line
55520	Cl16      3.39150A		# extra Lyman line
55525	Cl16      3.39136A		# extra Lyman line
55530	Cl16      3.39123A		# extra Lyman line
55535	Cl16      3.39111A		# extra Lyman line
55540	Cl16      3.39100A		# extra Lyman line
55545	Cl16      3.39090A		# extra Lyman line
55550	Cl16      3.39081A		# extra Lyman line
55555	Cl16      3.39072A		# extra Lyman line
55560	Cl16      3.39063A		# extra Lyman line
55565	Cl16      3.39056A		# extra Lyman line
55570	Cl16      3.39049A		# extra Lyman line
55575	Cl16      3.39042A		# extra Lyman line
55580	Cl16      3.39035A		# extra Lyman line
55585	Cl16      3.39030A		# extra Lyman line
55590	Cl16      3.39024A		# extra Lyman line
55595	Cl16      3.39019A		# extra Lyman line
55600	Cl16      3.39014A		# extra Lyman line
55605	Cl16      3.39009A		# extra Lyman line
55610	Cl16      3.39005A		# extra Lyman line
55615	Cl16      3.39000A		# extra Lyman line
55620	Cl16      3.38996A		# extra Lyman line
55625	Cl16      3.38993A		# extra Lyman line
55630	Cl16      3.38989A		# extra Lyman line
55635	Cl16      3.38986A		# extra Lyman line
55640	Cl16      3.38982A		# extra Lyman line
55645	Cl16      3.38979A		# extra Lyman line
55650	Cl16      3.38976A		# extra Lyman line
55655	Cl16      3.38974A		# extra Lyman line
55660	Cl16      3.38971A		# extra Lyman line
55665	Cl16      3.38969A		# extra Lyman line
55670	Cl16      3.38966A		# extra Lyman line
55675	Cl16      3.38964A		# extra Lyman line
55680	Cl16      3.38962A		# extra Lyman line
55685	Cl16      3.38959A		# extra Lyman line
55690	Cl16      3.38957A		# extra Lyman line
55695	Cl16      3.38956A		# extra Lyman line
55700	Cl16      3.38954A		# extra Lyman line
55705	Cl16      3.38952A		# extra Lyman line
55710	Cl16      3.38950A		# extra Lyman line
55715	Cl16      3.38949A		# extra Lyman line
55720	Cl16      3.38947A		# extra Lyman line
55725	Cl16      3.38945A		# extra Lyman line
55730	Cl16      3.38944A		# extra Lyman line
55735	Cl16      3.38943A		# extra Lyman line
55740	Cl16      3.38941A		# extra Lyman line
55745	Cl16      3.38940A		# extra Lyman line
55750	Cl16      3.38939A		# extra Lyman line
55755	Cl16      3.38937A		# extra Lyman line
55760	Cl16      3.38936A		# extra Lyman line
55765	Cl16      3.38935A		# extra Lyman line
55770	Cl16      3.38934A		# extra Lyman line
55775	Cl16      3.38933A		# extra Lyman line
55780	Cl16      3.38932A		# extra Lyman line
55785	Cl16      3.38931A		# extra Lyman line
55790	Cl16      3.38930A		# extra Lyman line
55795	Cl16      3.38929A		# extra Lyman line
55800	Cl16      3.38928A		# extra Lyman line
55805	Cl16      3.38927A		# extra Lyman line
55810	Cl16      3.38927A		# extra Lyman line
55815	Cl16      3.38926A		# extra Lyman line
55820	Cl16      3.38925A		# extra Lyman line
55825	Cl16      3.38924A		# extra Lyman line
55830	Cl16      3.38924A		# extra Lyman line
55835	Cl16      3.38923A		# extra Lyman line
55840	Ar17      3.02239A		# extra Lyman line
55845	Ar17      3.02076A		# extra Lyman line
55850	Ar17      3.01941A		# extra Lyman line
55855	Ar17      3.01828A		# extra Lyman line
55860	Ar17      3.01732A		# extra Lyman line
55865	Ar17      3.01650A		# extra Lyman line
55870	Ar17      3.01580A		# extra Lyman line
55875	Ar17      3.01519A		# extra Lyman line
55880	Ar17      3.01466A		# extra Lyman line
55885	Ar17      3.01419A		# extra Lyman line
55890	Ar17      3.01378A		# extra Lyman line
55895	Ar17      3.01342A		# extra Lyman line
55900	Ar17      3.01309A		# extra Lyman line
55905	Ar17      3.01280A		# extra Lyman line
55910	Ar17      3.01254A		# extra Lyman line
55915	Ar17      3.01231A		# extra Lyman line
55920	Ar17      3.01209A		# extra Lyman line
55925	Ar17      3.01190A		# extra Lyman line
55930	Ar17      3.01173A		# extra Lyman line
55935	Ar17      3.01156A		# extra Lyman line
55940	Ar17      3.01142A		# extra Lyman line
55945	Ar17      3.01128A		# extra Lyman line
55950	Ar17      3.01116A		# extra Lyman line
55955	Ar17      3.01104A		# extra Lyman line
55960	Ar17      3.01094A		# extra Lyman line
55965	Ar17      3.01084A		# extra Lyman line
55970	Ar17      3.01075A		# extra Lyman line
55975	Ar17      3.01067A		# extra Lyman line
55980	Ar17      3.01059A		# extra Lyman line
55985	Ar17      3.01051A		# extra Lyman line
55990	Ar17      3.01045A		# extra Lyman line
55995	Ar17      3.01038A		# extra Lyman line
56000	Ar17      3.01032A		# extra Lyman line
56005	Ar17      3.01027A		# extra Lyman line
56010	Ar17      3.01021A		# extra Lyman line
56015	Ar17      3.01016A		# extra Lyman line
56020	Ar17      3.01012A		# extra Lyman line
56025	Ar17      3.01007A		# extra Lyman line
56030	Ar17      3.01003A		# extra Lyman line
56035	Ar17      3.00999A		# extra Lyman line
56040	Ar17      3.00995A		# extra Lyman line
56045	Ar17      3.00992A		# extra Lyman line
56050	Ar17      3.00989A		# extra Lyman line
56055	Ar17      3.00985A		# extra Lyman line
56060	Ar17      3.00982A		# extra Lyman line
56065	Ar17      3.00980A		# extra Lyman line
56070	Ar17      3.00977A		# extra Lyman line
56075	Ar17      3.00974A		# extra Lyman line
56080	Ar17      3.00972A		# extra Lyman line
56085	Ar17      3.00969A		# extra Lyman line
56090	Ar17      3.00967A		# extra Lyman line
56095	Ar17      3.00965A		# extra Lyman line
56100	Ar17      3.00963A		# extra Lyman line
56105	Ar17      3.00961A		# extra Lyman line
56110	Ar17      3.00959A		# extra Lyman line
56115	Ar17      3.00957A		# extra Lyman line
56120	Ar17      3.00956A		# extra Lyman line
56125	Ar17      3.00954A		# extra Lyman line
56130	Ar17      3.00952A		# extra Lyman line
56135	Ar17      3.00951A		# extra Lyman line
56140	Ar17      3.00949A		# extra Lyman line
56145	Ar17      3.00948A		# extra Lyman line
56150	Ar17      3.00947A		# extra Lyman line
56155	Ar17      3.00945A		# extra Lyman line
56160	Ar17      3.00944A		# extra Lyman line
56165	Ar17      3.00943A		# extra Lyman line
56170	Ar17      3.00942A		# extra Lyman line
56175	Ar17      3.00941A		# extra Lyman line
56180	Ar17      3.00940A		# extra Lyman line
56185	Ar17      3.00939A		# extra Lyman line
56190	Ar17      3.00938A		# extra Lyman line
56195	Ar17      3.00937A		# extra Lyman line
56200	Ar17      3.00936A		# extra Lyman line
56205	Ar17      3.00935A		# extra Lyman line
56210	Ar17      3.00934A		# extra Lyman line
56215	Ar17      3.00933A		# extra Lyman line
56220	Ar17      3.00932A		# extra Lyman line
56225	Ar17      3.00932A		# extra Lyman line
56230	Ar17      3.00931A		# extra Lyman line
56235	Ar17      3.00930A		# extra Lyman line
56240	Ar17      3.00929A		# extra Lyman line
56245	Ar17      3.00929A		# extra Lyman line
56250	Ar17      3.00928A		# extra Lyman line
56255	Ar17      3.00927A		# extra Lyman line
56260	Ar17      3.00927A		# extra Lyman line
56265	K 18      2.70121A		# extra Lyman line
56270	K 18      2.69975A		# extra Lyman line
56275	K 18      2.69854A		# extra Lyman line
56280	K 18      2.69753A		# extra Lyman line
56285	K 18      2.69667A		# extra Lyman line
56290	K 18      2.69594A		# extra Lyman line
56295	K 18      2.69532A		# extra Lyman line
56300	K 18      2.69477A		# extra Lyman line
56305	K 18      2.69430A		# extra Lyman line
56310	K 18      2.69388A		# extra Lyman line
56315	K 18      2.69351A		# extra Lyman line
56320	K 18      2.69319A		# extra Lyman line
56325	K 18      2.69290A		# extra Lyman line
56330	K 18      2.69264A		# extra Lyman line
56335	K 18      2.69241A		# extra Lyman line
56340	K 18      2.69220A		# extra Lyman line
56345	K 18      2.69201A		# extra Lyman line
56350	K 18      2.69183A		# extra Lyman line
56355	K 18      2.69168A		# extra Lyman line
56360	K 18      2.69153A		# extra Lyman line
56365	K 18      2.69140A		# extra Lyman line
56370	K 18      2.69128A		# extra Lyman line
56375	K 18      2.69117A		# extra Lyman line
56380	K 18      2.69107A		# extra Lyman line
56385	K 18      2.69097A		# extra Lyman line
56390	K 18      2.69089A		# extra Lyman line
56395	K 18      2.69081A		# extra Lyman line
56400	K 18      2.69073A		# extra Lyman line
56405	K 18      2.69066A		# extra Lyman line
56410	K 18      2.69059A		# extra Lyman line
56415	K 18      2.69053A		# extra Lyman line
56420	K 18      2.69048A		# extra Lyman line
56425	K 18      2.69042A		# extra Lyman line
56430	K 18      2.69037A		# extra Lyman line
56435	K 18      2.69033A		# extra Lyman line
56440	K 18      2.69028A		# extra Lyman line
56445	K 18      2.69024A		# extra Lyman line
56450	K 18      2.69020A		# extra Lyman line
56455	K 18      2.69016A		# extra Lyman line
56460	K 18      2.69013A		# extra Lyman line
56465	K 18      2.69009A		# extra Lyman line
56470	K 18      2.69006A		# extra Lyman line
56475	K 18      2.69003A		# extra Lyman line
56480	K 18      2.69000A		# extra Lyman line
56485	K 18      2.68998A		# extra Lyman line
56490	K 18      2.68995A		# extra Lyman line
56495	K 18      2.68993A		# extra Lyman line
56500	K 18      2.68990A		# extra Lyman line
56505	K 18      2.68988A		# extra Lyman line
56510	K 18      2.68986A		# extra Lyman line
56515	K 18      2.68984A		# extra Lyman line
56520	K 18      2.68982A		# extra Lyman line
56525	K 18      2.68980A		# extra Lyman line
56530	K 18      2.68979A		# extra Lyman line
56535	K 18      2.68977A		# extra Lyman line
56540	K 18      2.68975A		# extra Lyman line
56545	K 18      2.68974A		# extra Lyman line
56550	K 18      2.68972A		# extra Lyman line
56555	K 18      2.68971A		# extra Lyman line
56560	K 18      2.68970A		# extra Lyman line
56565	K 18      2.68968A		# extra Lyman line
56570	K 18      2.68967A		# extra Lyman line
56575	K 18      2.68966A		# extra Lyman line
56580	K 18      2.68965A		# extra Lyman line
56585	K 18      2.68964A		# extra Lyman line
56590	K 18      2.68963A		# extra Lyman line
56595	K 18      2.68961A		# extra Lyman line
56600	K 18      2.68960A		# extra Lyman line
56605	K 18      2.68959A		# extra Lyman line
56610	K 18      2.68959A		# extra Lyman line
56615	K 18      2.68958A		# extra Lyman line
56620	K 18      2.68957A		# extra Lyman line
56625	K 18      2.68956A		# extra Lyman line
56630	K 18      2.68955A		# extra Lyman line
56635	K 18      2.68954A		# extra Lyman line
56640	K 18      2.68954A		# extra Lyman line
56645	K 18      2.68953A		# extra Lyman line
56650	K 18      2.68952A		# extra Lyman line
56655	K 18      2.68952A		# extra Lyman line
56660	K 18      2.68951A		# extra Lyman line
56665	K 18      2.68950A		# extra Lyman line
56670	K 18      2.68950A		# extra Lyman line
56675	K 18      2.68949A		# extra Lyman line
56680	K 18      2.68948A		# extra Lyman line
56685	K 18      2.68948A		# extra Lyman line
56690	Ca19      2.42840A		# extra Lyman line
56695	Ca19      2.42709A		# extra Lyman line
56700	Ca19      2.42600A		# extra Lyman line
56705	Ca19      2.42510A		# extra Lyman line
56710	Ca19      2.42433A		# extra Lyman line
56715	Ca19      2.42367A		# extra Lyman line
56720	Ca19      2.42310A		# extra Lyman line
56725	Ca19      2.42262A		# extra Lyman line
56730	Ca19      2.42219A		# extra Lyman line
56735	Ca19      2.42181A		# extra Lyman line
56740	Ca19      2.42148A		# extra Lyman line
56745	Ca19      2.42119A		# extra Lyman line
56750	Ca19      2.42093A		# extra Lyman line
56755	Ca19      2.42070A		# extra Lyman line
56760	Ca19      2.42049A		# extra Lyman line
56765	Ca19      2.42030A		# extra Lyman line
56770	Ca19      2.42013A		# extra Lyman line
56775	Ca19      2.41997A		# extra Lyman line
56780	Ca19      2.41983A		# extra Lyman line
56785	Ca19      2.41970A		# extra Lyman line
56790	Ca19      2.41959A		# extra Lyman line
56795	Ca19      2.41948A		# extra Lyman line
56800	Ca19      2.41938A		# extra Lyman line
56805	Ca19      2.41929A		# extra Lyman line
56810	Ca19      2.41920A		# extra Lyman line
56815	Ca19      2.41912A		# extra Lyman line
56820	Ca19      2.41905A		# extra Lyman line
56825	Ca19      2.41898A		# extra Lyman line
56830	Ca19      2.41892A		# extra Lyman line
56835	Ca19      2.41886A		# extra Lyman line
56840	Ca19      2.41880A		# extra Lyman line
56845	Ca19      2.41875A		# extra Lyman line
56850	Ca19      2.41871A		# extra Lyman line
56855	Ca19      2.41866A		# extra Lyman line
56860	Ca19      2.41862A		# extra Lyman line
56865	Ca19      2.41858A		# extra Lyman line
56870	Ca19      2.41854A		# extra Lyman line
56875	Ca19      2.41850A		# extra Lyman line
56880	Ca19      2.41847A		# extra Lyman line
56885	Ca19      2.41844A		# extra Lyman line
56890	Ca19      2.41841A		# extra Lyman line
56895	Ca19      2.41838A		# extra Lyman line
56900	Ca19      2.41835A		# extra Lyman line
56905	Ca19      2.41833A		# extra Lyman line
56910	Ca19      2.41830A		# extra Lyman line
56915	Ca19      2.41828A		# extra Lyman line
56920	Ca19      2.41826A		# extra Lyman line
56925	Ca19      2.41824A		# extra Lyman line
56930	Ca19      2.41822A		# extra Lyman line
56935	Ca19      2.41820A		# extra Lyman line
56940	Ca19      2.41818A		# extra Lyman line
56945	Ca19      2.41817A		# extra Lyman line
56950	Ca19      2.41815A		# extra Lyman line
56955	Ca19      2.41813A		# extra Lyman line
56960	Ca19      2.41812A		# extra Lyman line
56965	Ca19      2.41810A		# extra Lyman line
56970	Ca19      2.41809A		# extra Lyman line
56975	Ca19      2.41808A		# extra Lyman line
56980	Ca19      2.41806A		# extra Lyman line
56985	Ca19      2.41805A		# extra Lyman line
56990	Ca19      2.41804A		# extra Lyman line
56995	Ca19      2.41803A		# extra Lyman line
57000	Ca19      2.41802A		# extra Lyman line
57005	Ca19      2.41801A		# extra Lyman line
57010	Ca19      2.41800A		# extra Lyman line
57015	Ca19      2.41799A		# extra Lyman line
57020	Ca19      2.41798A		# extra Lyman line
57025	Ca19      2.41797A		# extra Lyman line
57030	Ca19      2.41796A		# extra Lyman line
57035	Ca19      2.41795A		# extra Lyman line
57040	Ca19      2.41794A		# extra Lyman line
57045	Ca19      2.41794A		# extra Lyman line
57050	Ca19      2.41793A		# extra Lyman line
57055	Ca19      2.41792A		# extra Lyman line
57060	Ca19      2.41792A		# extra Lyman line
57065	Ca19      2.41791A		# extra Lyman line
57070	Ca19      2.41790A		# extra Lyman line
57075	Ca19      2.41790A		# extra Lyman line
57080	Ca19      2.41789A		# extra Lyman line
57085	Ca19      2.41788A		# extra Lyman line
57090	Ca19      2.41788A		# extra Lyman line
57095	Ca19      2.41787A		# extra Lyman line
57100	Ca19      2.41787A		# extra Lyman line
57105	Ca19      2.41786A		# extra Lyman line
57110	Ca19      2.41786A		# extra Lyman line
57115	Ti21      1.99316A		# extra Lyman line
57120	Ti21      1.99209A		# extra Lyman line
57125	Ti21      1.99120A		# extra Lyman line
57130	Ti21      1.99045A		# extra Lyman line
57135	Ti21      1.98982A		# extra Lyman line
57140	Ti21      1.98928A		# extra Lyman line
57145	Ti21      1.98881A		# extra Lyman line
57150	Ti21      1.98841A		# extra Lyman line
57155	Ti21      1.98806A		# extra Lyman line
57160	Ti21      1.98776A		# extra Lyman line
57165	Ti21      1.98749A		# extra Lyman line
57170	Ti21      1.98724A		# extra Lyman line
57175	Ti21      1.98703A		# extra Lyman line
57180	Ti21      1.98684A		# extra Lyman line
57185	Ti21      1.98667A		# extra Lyman line
57190	Ti21      1.98651A		# extra Lyman line
57195	Ti21      1.98637A		# extra Lyman line
57200	Ti21      1.98624A		# extra Lyman line
57205	Ti21      1.98613A		# extra Lyman line
57210	Ti21      1.98602A		# extra Lyman line
57215	Ti21      1.98593A		# extra Lyman line
57220	Ti21      1.98584A		# extra Lyman line
57225	Ti21      1.98576A		# extra Lyman line
57230	Ti21      1.98568A		# extra Lyman line
57235	Ti21      1.98561A		# extra Lyman line
57240	Ti21      1.98555A		# extra Lyman line
57245	Ti21      1.98549A		# extra Lyman line
57250	Ti21      1.98543A		# extra Lyman line
57255	Ti21      1.98538A		# extra Lyman line
57260	Ti21      1.98533A		# extra Lyman line
57265	Ti21      1.98529A		# extra Lyman line
57270	Ti21      1.98524A		# extra Lyman line
57275	Ti21      1.98520A		# extra Lyman line
57280	Ti21      1.98517A		# extra Lyman line
57285	Ti21      1.98513A		# extra Lyman line
57290	Ti21      1.98510A		# extra Lyman line
57295	Ti21      1.98507A		# extra Lyman line
57300	Ti21      1.98504A		# extra Lyman line
57305	Ti21      1.98501A		# extra Lyman line
57310	Ti21      1.98499A		# extra Lyman line
57315	Ti21      1.98496A		# extra Lyman line
57320	Ti21      1.98494A		# extra Lyman line
57325	Ti21      1.98492A		# extra Lyman line
57330	Ti21      1.98490A		# extra Lyman line
57335	Ti21      1.98488A		# extra Lyman line
57340	Ti21      1.98486A		# extra Lyman line
57345	Ti21      1.98484A		# extra Lyman line
57350	Ti21      1.98482A		# extra Lyman line
57355	Ti21      1.98481A		# extra Lyman line
57360	Ti21      1.98479A		# extra Lyman line
57365	Ti21      1.98477A		# extra Lyman line
57370	Ti21      1.98476A		# extra Lyman line
57375	Ti21      1.98475A		# extra Lyman line
57380	Ti21      1.98473A		# extra Lyman line
57385	Ti21      1.98472A		# extra Lyman line
57390	Ti21      1.98471A		# extra Lyman line
57395	Ti21      1.98470A		# extra Lyman line
57400	Ti21      1.98469A		# extra Lyman line
57405	Ti21      1.98468A		# extra Lyman line
57410	Ti21      1.98467A		# extra Lyman line
57415	Ti21      1.98466A		# extra Lyman line
57420	Ti21      1.98465A		# extra Lyman line
57425	Ti21      1.98464A		# extra Lyman line
57430	Ti21      1.98463A		# extra Lyman line
57435	Ti21      1.98462A		# extra Lyman line
57440	Ti21      1.98462A		# extra Lyman line
57445	Ti21      1.98461A		# extra Lyman line
57450	Ti21      1.98460A		# extra Lyman line
57455	Ti21      1.98459A		# extra Lyman line
57460	Ti21      1.98459A		# extra Lyman line
57465	Ti21      1.98458A		# extra Lyman line
57470	Ti21      1.98457A		# extra Lyman line
57475	Ti21      1.98457A		# extra Lyman line
57480	Ti21      1.98456A		# extra Lyman line
57485	Ti21      1.98456A		# extra Lyman line
57490	Ti21      1.98455A		# extra Lyman line
57495	Ti21      1.98454A		# extra Lyman line
57500	Ti21      1.98454A		# extra Lyman line
57505	Ti21      1.98453A		# extra Lyman line
57510	Ti21      1.98453A		# extra Lyman line
57515	Ti21      1.98452A		# extra Lyman line
57520	Ti21      1.98452A		# extra Lyman line
57525	Ti21      1.98452A		# extra Lyman line
57530	Ti21      1.98451A		# extra Lyman line
57535	Ti21      1.98451A		# extra Lyman line
57540	V 22      1.81776A		# extra Lyman line
57545	V 22      1.81678A		# extra Lyman line
57550	V 22      1.81596A		# extra Lyman line
57555	V 22      1.81528A		# extra Lyman line
57560	V 22      1.81471A		# extra Lyman line
57565	V 22      1.81421A		# extra Lyman line
57570	V 22      1.81379A		# extra Lyman line
57575	V 22      1.81343A		# extra Lyman line
57580	V 22      1.81311A		# extra Lyman line
57585	V 22      1.81283A		# extra Lyman line
57590	V 22      1.81258A		# extra Lyman line
57595	V 22      1.81236A		# extra Lyman line
57600	V 22      1.81217A		# extra Lyman line
57605	V 22      1.81199A		# extra Lyman line
57610	V 22      1.81183A		# extra Lyman line
57615	V 22      1.81169A		# extra Lyman line
57620	V 22      1.81156A		# extra Lyman line
57625	V 22      1.81145A		# extra Lyman line
57630	V 22      1.81134A		# extra Lyman line
57635	V 22      1.81125A		# extra Lyman line
57640	V 22      1.81116A		# extra Lyman line
57645	V 22      1.81108A		# extra Lyman line
57650	V 22      1.81100A		# extra Lyman line
57655	V 22      1.81093A		# extra Lyman line
57660	V 22      1.81087A		# extra Lyman line
57665	V 22      1.81081A		# extra Lyman line
57670	V 22      1.81076A		# extra Lyman line
57675	V 22      1.81071A		# extra Lyman line
57680	V 22      1.81066A		# extra Lyman line
57685	V 22      1.81061A		# extra Lyman line
57690	V 22      1.81057A		# extra Lyman line
57695	V 22      1.81053A		# extra Lyman line
57700	V 22      1.81050A		# extra Lyman line
57705	V 22      1.81047A		# extra Lyman line
57710	V 22      1.81043A		# extra Lyman line
57715	V 22      1.81040A		# extra Lyman line
57720	V 22      1.81038A		# extra Lyman line
57725	V 22      1.81035A		# extra Lyman line
57730	V 22      1.81032A		# extra Lyman line
57735	V 22      1.81030A		# extra Lyman line
57740	V 22      1.81028A		# extra Lyman line
57745	V 22      1.81026A		# extra Lyman line
57750	V 22      1.81024A		# extra Lyman line
57755	V 22      1.81022A		# extra Lyman line
57760	V 22      1.81020A		# extra Lyman line
57765	V 22      1.81018A		# extra Lyman line
57770	V 22      1.81017A		# extra Lyman line
57775	V 22      1.81015A		# extra Lyman line
57780	V 22      1.81014A		# extra Lyman line
57785	V 22      1.81012A		# extra Lyman line
57790	V 22      1.81011A		# extra Lyman line
57795	V 22      1.81009A		# extra Lyman line
57800	V 22      1.81008A		# extra Lyman line
57805	V 22      1.81007A		# extra Lyman line
57810	V 22      1.81006A		# extra Lyman line
57815	V 22      1.81005A		# extra Lyman line
57820	V 22      1.81004A		# extra Lyman line
57825	V 22      1.81003A		# extra Lyman line
57830	V 22      1.81002A		# extra Lyman line
57835	V 22      1.81001A		# extra Lyman line
57840	V 22      1.81000A		# extra Lyman line
57845	V 22      1.80999A		# extra Lyman line
57850	V 22      1.80998A		# extra Lyman line
57855	V 22      1.80998A		# extra Lyman line
57860	V 22      1.80997A		# extra Lyman line
57865	V 22      1.80996A		# extra Lyman line
57870	V 22      1.80996A		# extra Lyman line
57875	V 22      1.80995A		# extra Lyman line
57880	V 22      1.80994A		# extra Lyman line
57885	V 22      1.80994A		# extra Lyman line
57890	V 22      1.80993A		# extra Lyman line
57895	V 22      1.80992A		# extra Lyman line
57900	V 22      1.80992A		# extra Lyman line
57905	V 22      1.80991A		# extra Lyman line
57910	V 22      1.80991A		# extra Lyman line
57915	V 22      1.80990A		# extra Lyman line
57920	V 22      1.80990A		# extra Lyman line
57925	V 22      1.80989A		# extra Lyman line
57930	V 22      1.80989A		# extra Lyman line
57935	V 22      1.80988A		# extra Lyman line
57940	V 22      1.80988A		# extra Lyman line
57945	V 22      1.80988A		# extra Lyman line
