#
# this is a list of the lowest and strongest He-like transitions
# of the first 30 elements
# the entry El n  0 is the two-photon continuum
#
#>>chng 06 jul 21 add third n=2 line as per Ryan's LOC run
#>>chng 06 aug 17, further lines added for Ryan's loc run
#>>chng 06 aug 18, use mean wl of 2S - 2P multiplet
#
# helium lines are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S - entire multiplet with mean wl
# 2p 1P  - 2s 1S
#
He 1	1202.81A	# two-photon singlet
He 1	1251.13A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 591.412A to "Blnd" 591.412A, update He-like triplet labels and wl
Blnd	591.412A
He 1	625.563A
He 1	584.334A
# >>chng 13 aug 01, wl from 1.08299m to 1.08303m, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "He 1" 1.08303m to "Blnd" 1.08331m, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 1.08331m to 1.08302m, adjust multiplet Blend WL for refraction index
Blnd	1.08302m
#>>chng 06 may 20 from 2.060mm to 2.058mm RP change helike
He 1	2.05813m
#
# the following are
# 2s 1S  - ground - two-photon
# 2p 3P  - ground
# 2p 3P2 - ground
# 2s 3S  - ground
# 2p 1P  - ground
# 2p 3P  - 2s 3S
# 2p 3P0 - 2s 3S
# 2p 3P1 - 2s 3S
# 2p 3P2 - 2s 3S
# 2p 1P  - 2s 1S
#
Li 2	407.021A 	# two-photon singlet
Li 2	420.137A 	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 202.322A to "Blnd" 202.322A, update He-like triplet labels and wl
Blnd	202.322A
Li 2	202.321A
Li 2	210.069A
Li 2	199.279A
# >>chng 13 aug 01, wl from 5484.32A to 5484.40A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 5484.40A to "Blnd" 5486.01A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 5486.01A to 5484.49A, adjust multiplet Blend WL for refraction index
Blnd	5484.49A
Li 2	5483.46A
Li 2	5485.09A
# >>chng 13 aug 01, wl from 5484.32A to 5484.40A, now using middle multiplet wl
Li 2	5484.40A
Li 2	9581.43A
#
Be 3	203.837A	# two-photon singlet
Be 3	209.095A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 101.693A to "Blnd" 101.693A, update He-like triplet labels and wl
Blnd	101.693A
Be 3	101.693A
Be 3	104.548A
Be 3	100.255A
# >>chng 13 aug 01, wl from 3721.72A to 3721.40A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 3721.40A to "Blnd" 3722.52A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 3722.52A to 3722.00A, adjust multiplet Blend WL for refraction index
Blnd	3722.00A
Be 3	3720.84A
Be 3	3722.92A
Be 3	3721.40A
Be 3	6142.32A
#
# >>chng 21 mar 16, wl from 122.270A to 122.271A, update NIST energies
B  4	122.271A	# two-photon singlet
# >>chng 21 mar 16, wl from 124.879A to 124.880A, update NIST energies
B  4	124.880A	# two-photon triplet
## >>chng 18 feb 20, updated spectral label from "TOTL" 61.0903A to "Blnd" 61.0903A, update He-like triplet labels and wl
# >>chng 21 mar 16, wl from 61.0903A to 61.0907A, update NIST energies
Blnd	61.0907A
# >>chng 21 mar 16, wl from 61.0903A to 61.0907A, update NIST energies
B  4	61.0907A
# >>chng 21 mar 16, wl from 62.4397A to 62.4402A, update NIST energies
B  4	62.4402A
# >>chng 21 mar 16, wl from 60.3144A to 60.3147A, update NIST energies
B  4	60.3147A
# >>chng 13 aug 01, wl from 2824.03A to 2824.59A, now using middle multiplet wl
## >>chng 18 feb 20, updated spectral label from "TOTL" 2824.59A to "Blnd" 2823.98A, update He-like triplet labels and wl
# >>chng 18 mar 06, wl from 2823.98A to 2823.14A, adjust multiplet Blend WL for refraction index
# >>chng 21 mar 16, wl from 2823.14A to 2823.12A, update NIST energies
Blnd	2823.12A
# >>chng 21 mar 16, wl from 2824.59A to 2824.54A, update NIST energies
B  4	2824.54A
# >>chng 21 mar 16, wl from 2825.86A to 2825.83A, update NIST energies
B  4	2825.83A
# >>chng 21 mar 16, wl from 2821.64A to 2821.63A, update NIST energies
B  4	2821.63A
