# this is the base set of chemistry rates that is read in
# by default for all cases.
# We have the option to supplement this with improved rates 
# from mole_co_federman.dat and mole_co_leidenhack.dat
# Both files are used by default but can be disabled with
# the SET CHEMISTRY command.  There are duplicate reactions
# in this case and the base reactions in this file are
# ignored.
#These would be double counted if included in the molecular network
#N+,e-=>N:ele_recomb:1.:0.:0.
#S+,e-=>S:ele_recomb:1.:0.:0.
#Cl+,e-=>Cl:ele_recomb:1.:0.:0.
#C+,e-=>C:ele_recomb:1.:0.:0.
#O+,e-=>O:ele_recomb:1.:0.:0.
#Si+,e-=>Si:ele_recomb:1.:0.:0.
CH,HCO+=>CO,CH2+:hmrate:6.3e-10:-0.5:0 # UMIST2012, updated by GS on 22ndMay2021	 
#CH,O2=>CO,OH:hmrate:2.6e-11:0:0 # UMIST
CH,O2=>CO,OH:hmrate:7.6e-12:-0.48:0 # UMIST2012, updated by GS on 22ndMay2021
CH2,CO+=>CO,CH2+:hmrate:4.3e-10:0:0 # UMIST	 
CH2,HCO+=>CO,CH3+:hmrate:8.6e-10:0:0 # UMIST	 
CH2,O2=>CO,H2O:hmrate:2.48e-10:-3.3:1443 # UMIST	 
CO+,O2=>O2+,CO:hmrate:1.2e-10:0:0 # UMIST	 
H2O,CO+=>CO,H2O+:hmrate:1.72e-9:0:0 # UMIST	 
H2O,HCO+=>CO,H3O+:hmrate:2.5e-9:0:0 # UMIST	 
H2O+,CO=>HCO+,OH:hmrate:5.0e-10:0:0 # UMIST	 
HCO+,SiH=>SiH2+,CO:hmrate:8.7e-10:0:0 # UMIST	 
HCO+,SiO=>SiOH+,CO:hmrate:7.9e-10:0:0 # UMIST	 
OH,CO+=>CO,OH+:hmrate:3.1e-10:0:0 # UMIST	 
OH,HCO+=>CO,H2O+:hmrate:6.2e-10:0:0 # UMIST	 
OH+,CO=>HCO+,O:hmrate:1.05e-9:0:0 # UMIST	 
CO+,CH4=>CO,CH4+:hmrate:7.93e-10:0:0 # UMIST     
CO,CH4+=>HCO+,CH3:hmrate:1.4e-9:0:0 # UMIST     
CO,CH5+=>HCO+,CH4:hmrate:1.0e-9:0:0 # UMIST     
C,NO=>CO,N:hmrate:4.65e-11:0:0 # UMIST   
#C,OCN=>CO,CN:hmrate:4.0e-11:0.5:0 # UMIST 
C,OCN=>CO,CN:hmrate:1.0e-10:0.:0. # UMIST2012, updated by GS on 4thApril2021  # BIG BLOTCH for OCN
C,SO=>S,CO:hmrate:7.2e-11:0:0 # UMIST   
O,CN=>CO,N:hmrate:4.36e-11:0.46:364 # UMIST   
O,HCN=>CO,NH:hmrate:0.00000000000073:1.14:3742 # UMIST   
O,OCN=>NO,CO:hmrate:9.43e-11:-0.09:100 # UMIST   
O,CS=>S,CO:hmrate:2.48e-10:-0.65:783 # UMIST   
O,OCS=>SO,CO:hmrate:1.6e-11:0:2150 # UMIST   
OH,HCN=>CO,NH2:hmrate:1.07e-13:0:5892 # UMIST   
#CN,NO=>N2,CO:hmrate:1.79e-10:0:4040 # UMIST  
CN,NO=>N2,CO:hmrate:1.6e-13:0:0 # UMIST2012 updated by GS on 4th April,2021  
#CN,O2=>NO,CO:hmrate:0.00000000000053:0:0 # UMIST
CN,O2=>NO,CO:hmrate:5.12e-12:-.49:-5.2 # UMIST2012 updated by GS on 4th April,2021   
CO,HS=>OCS,H:hmrate:0.0000000000000595:1.12:8330 # UMIST   
H+,OCS=>HS+,CO:hmrate:2.1e-9:0:0 # UMIST   
He+,OCS=>S+,CO,He:hmrate:7.6e-10:0:0 # UMIST   
C+,SO=>S+,CO:hmrate:2.6e-10:0:0 # UMIST   
C+,OCS=>CS+,CO:hmrate:1.6e-9:0:0 # UMIST   
CH+,OCS=>HCS+,CO:hmrate:1.05e-9:0:0 # UMIST   
N+,CO=>NO+,C:hmrate:1.45e-10:0:0 # UMIST   
N+,OCS=>S+,CO,N:hmrate:3.08e-10:0:0 # UMIST   
NH+,CO=>HCO+,N:hmrate:4.41e-10:0:0 # UMIST   
NH+,CO=>OCN+,H:hmrate:5.39e-10:0:0 # UMIST   
NH,HCO+=>CO,NH2+:hmrate:6.4e-10:0:0 # UMIST   
NH2,HCO+=>CO,NH3+:hmrate:8.9e-10:0:0 # UMIST   
NH3,HCO+=>CO,NH4+:hmrate:2.2e-9:0:0 # UMIST   
CN+,O2=>NO+,CO:hmrate:8.6e-11:0:0 # UMIST   
HCN+,CO=>HCO+,CN:hmrate:1.4e-10:0:0 # UMIST   
CO,HNO+=>NO,HCO+:hmrate:1.0e-10:0:0 # UMIST   
N2+,OCS=>S+,N2,CO:hmrate:1.04e-9:0:0 # UMIST   
HCO+,S=>HS+,CO:hmrate:3.3e-10:0:0 # UMIST   
HCO+,CS=>HCS+,CO:hmrate:1.2e-9:0:0 # UMIST   
NH,CO+=>CO,NH+:hmrate:3.2e-10:0:0 # UMIST   
NH2,CO+=>CO,NH2+:hmrate:4.5e-10:0:0 # UMIST   
NH3,CO+=>CO,NH3+:hmrate:2.02e-9:0:0 # UMIST   
CN+,CO=>CO+,CN:hmrate:6.3e-10:0:0 # UMIST   
#HCN,CO+=>CO,HCN+:hmrate:3.4e-9:0:0 # UMIST 
HCN,CO+=>CO,HCN+:hmrate:3.4e-9:-0.5:0 # UMIST2012 updated by GS on 8thApril2021 
CO,N2+=>N2,CO+:hmrate:7.4e-11:0:0 # UMIST   
CO+,NO=>NO+,CO:hmrate:3.3e-10:0:0 # UMIST   
OCN+,e-=>CO,N:hmrate:0.0000003:-0.5:0 # UMIST   
OCS+,e-=>S,CO:hmrate:0.00000015:-0.5:0 # UMIST   
CO,S=>OCS,PHOTON:hmrate:1.6e-17:-1.5:0 # UMIST   
OCS,PHOTON=>S,CO:th85rate:3.7e-9:0.:0. # UMIST   
OCS,CRPHOT=>S,CO:crnurate:5360 :0.:0. # UMIST   
N+,CO=>CO+,N:hmrate:8.25e-10:0:0 # UMIST   
CO+,S=>S+,CO:hmrate:1.1e-9:0:0 # UMIST   
O,CCl=>Cl,CO:hmrate:0.0000000000996:0:0 # UMIST   
CO,H2Cl+=>HCl,HCO+:hmrate:0.00000000078:0:0 # UMIST   
#HNC,HCO+=>HCNH+,CO:hmrate:0.0000000031:0:0
HNC,HCO+=>HCNH+,CO:hmrate:0.0000000031:-0.5:0  # UMIST2012 updated by GS on 8thApril2021 # BIG BLOTCH for HCNH+ in orion_hii_pdr.in
#HCN,HCO+=>HCNH+,CO:hmrate:0.0000000031:0:0
HCN,HCO+=>HCNH+,CO:hmrate:0.0000000031:-0.5:0 # UMIST2012 updated by GS on 8thApril2021 # BIG BLOTCH for HCNH+ in orion_hii_pdr.in
#O,C2H=>CO,CH:hmrate:0.000000000017:0:0 
O,C2H=>CO,CH:hmrate:1.e-10:0:0 # UMIST2012 updated by GS on 21stMay2021
C2H,CO+=>CO,C2H+:hmrate:0.00000000039:0:0 
C2,HCO+=>CO,C2H+:hmrate:0.00000000083:0:0 
O2,C3=>CO,C2,O:hmrate:0.000000000001:0:0 
O,C3=>CO,C2:hmrate:0.00000000005:0.5:0 
C2H,HCO+=>CO,C2H2+:hmrate:0.00000000078:0:0 
O,C3H=>CO,C2H:hmrate:0.0000000001:0:250 
#O,C2H2=>CO,CH2:hmrate:0.00000000000839:1.03:1197
O,C2H2=>CO,CH2:hmrate:1.15e-12:1.4:1110 # UMIST2012 updated by GS on 26thMay2021
OH,C2H2=>CO,CH3:oh_c2h2_co_ch3:6.51E-18:4.:-1006
HCO+,C3=>C3H+,CO:hmrate:0.000000002:0:0 
H2O,C3H+=>CO,C2H3+:hmrate:0.00000000018:0:0 
C2H2,HCO+=>CO,C2H3+:hmrate:0.0000000014:0:0 
e-,CH+=>C,H:hmrate:0.00000015:-0.42:0 # UMIST	 
e-,CH2+=>C,H,H:hmrate:0.000000403:-0.6:0 # UMIST	 
#e-,CH3+=>CH,H,H:hmrate:0.000000056:-0.5:0 # UMIST 	 
e-,CH3+=>CH3,PHOTON:hmrate:1.1e-10:-0.5:0 # UMIST	 
e-,H2O+=>OH,H:hmrate:0.0000000792:-0.5:0 # UMIST	 
e-,H2O+=>O,H,H:hmrate:0.000000245:-0.5:0 # UMIST	 
e-,H2O+=>O,H2:hmrate:0.000000036:-0.5:0 # UMIST	 
e-,H3O+=>H2O,H:hmrate:0.000000108:-0.5:0 # UMIST	 
e-,H3O+=>OH,H,H:hmrate:0.000000258:-0.5:0 # UMIST	 
e-,H3O+=>OH,H2:hmrate:0.0000000645:-0.5:0 # UMIST	 
e-,H3O+=>O,H2,H:hmrate:5.59e-9:-0.5:0 # UMIST	 
e-,O2+=>O,O:hmrate:0.000000195:-0.7:0 # UMIST	 
e-,OH+=>O,H:hmrate:0.0000000375:-0.5:0 # UMIST	 
e-,SiH2+=>SiH,H:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,SiH2+=>Si,H,H:hmrate:0.0000002:-0.5:0 # UMIST	 
e-,SiH2+=>Si,H2:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,SiO+=>Si,O:hmrate:0.0000002:-0.5:0 # UMIST	 
e-,SiOH+=>SiO,H:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,SiOH+=>Si,OH:hmrate:0.00000015:-0.5:0 # UMIST	 
e-,CH5+=>CH3,H2:hmrate:0.00000055:-0.3:0 # UMIST     
e-,CH5+=>CH4,H:hmrate:0.00000055:-0.3:0 # UMIST     
e-,CH4+=>CH3,H:hmrate:0.000000175:-0.5:0 # UMIST     
e-,CH4+=>CH2,H,H:hmrate:0.000000175:-0.5:0 # UMIST     
C2+,e-=>C,C:hmrate:0.0000003:-0.5:0 # UMIST	 
NH+,e-=>N,H:hmrate:0.000000043:-0.5:0 # UMIST   
NH2+,e-=>N,H,H:hmrate:0.000000198:-0.5:0 # UMIST   
NH2+,e-=>NH,H:hmrate:0.000000102:-0.5:0 # UMIST   
NH3+,e-=>NH,H,H:hmrate:0.000000155:-0.5:0 # UMIST   
NH3+,e-=>NH2,H:hmrate:0.000000155:-0.5:0 # UMIST   
